Senator Screen Name,Tweet Text,Tweet ID
SenTedCruz,Senate should repeal #Obamacare’s individual mandate in tax reform bill keeping more money in #Americans’ pockets-> https://t.co/4LChP0MFeq,927980469316136960
SenTedCruz,Tax cuts are critical and I believe we can get it done. https://t.co/TNHlxK2o8S,927940575470538753
SenTedCruz,There is a path forward to true tax cuts in repealing Obamacare. Tax payers are losing exemptions & paying higher t… https://t.co/wNpPdc5t2n,927937926545199104
SenTedCruz,The main focus of these tax cuts should be on jobs jobs jobs and more jobs for all #Americans. https://t.co/7NJYeaLMse,927936944738328577
SteveDaines,Repealing the individual mandate would save Americans $43 billion in taxes.,928391782085349377
SteveDaines,We need to repeal the individual mandate when we cut taxes. https://t.co/h6iXP3oxre,928391463146348544
SteveDaines,We can’t tax spend and regulate our way to prosperity. https://t.co/bNC1gz5ICH,927936972198379521
SteveDaines,RT @sendavidperdue: .@SteveDaines: "This is about a wage raise through tax cuts." https://t.co/CfLrPMa4BE,927935489566543872
SteveDaines,RT @SenateGOP: Tax Cuts for American Families: Sen @SteveDaines rallies behind #TaxReform for American families. https://t.co/Tji4Wei9Je,927934865751896064
SenDonnelly,Joe discussed his tax reform priorities in a meeting yesterday with WH officials. Joe also urged VP Pence to ensure… https://t.co/TiJRkTxFyu,928310497312681984
SenDuckworth,RT @CrainsChicago: Opinion => Don't be fooled: The GOP tax plan won't benefit everyone @SenatorDurbin and @SenDuckworth write in Crain's h…,928976947312496645
SenatorDurbin,RT @CrainsChicago: Opinion => Don't be fooled: The GOP tax plan won't benefit everyone @SenatorDurbin and @SenDuckworth write in Crain's h…,929086593369100288
SenatorDurbin,@PeterRoskam llinoisans in Rep. Roskam's 12th district and across the state would see their taxes go up while the w… https://t.co/pnmYT3W5CZ,929060767927857152
SenatorDurbin,Illinoisans deserve better than the House Republican Tax Plan which @PeterRoskam enthusiastically supports. https://t.co/zcOkXNzKAe,929060641347862528
SenatorEnzi,Meaningful #TaxReform will not only simplify our taxes but help grow the economy create more jobs and raise wages. https://t.co/uNDirACzqW,928765629234122752
SenatorEnzi,The Senate Finance Committee released a #TaxReform proposal today to help boost America’s economy create more jobs… https://t.co/aXgoBFEKrR,928765474158055424
SenatorEnzi,A lot of things have changed since 1986 but unfortunately our tax code isn’t one of them. #TaxReform,928765135337947136
SenatorEnzi,RT @GOPSenFinance: Finance Committee Republicans are ready to deliver #TaxReform that will create more jobs increase paychecks and make th…,928350486792728576
SenatorEnzi,Why are we working on tax reform? To put more money in the pockets of folks across the country. https://t.co/Nr4rXQcxoa,925806568796499968
SenatorEnzi,Why tax reform? https://t.co/lVSClm55Kk,925760950560542721
SenatorEnzi,RT @BudgetGOP: BREAKING - House approves Senate's FY 2018 #Budget - paving the way for historic #TaxReform - https://t.co/ezEYEPOCoe,923567156708638720
SenJoniErnst,Time to make Washington squeal! 🐷 I intro'd my SQUEAL Act to eliminate thousands of $$ in a tax break for Congress: https://t.co/ji3sU8qTbE,925336619879731200
SenatorFischer,It was good to be in downtown Norfolk today and visit several local businesses including Tienda Leon Norfolk Natu… https://t.co/QFXTaXfBdl,929176007218814977
SenatorFischer,The release of the Senate tax reform proposal is a key step toward achieving our goals of providing relief for midd… https://t.co/cUGaIHEOsh,928806577959817217
FlakeforSenate,We've always counted on Jeff to protect our tax dollars. #AZSen https://t.co/E5DcvNizGx,921127252703707136
FlakeforSenate,More than 200 tax code loopholes costing $1.23 trillion every year. Jeff has a plan to end corrupt loopholes. READ: https://t.co/g7PsZPVEs3,920402563857559552
SenFranken,WATCH: @SenWarren and I sat down to give you an idea of how companies will spend GOP-proposed tax cuts. Warning: Yo… https://t.co/LzIUxgguTP,929053118377156608
SenCoryGardner,I’m excited for the opportunity to bring tax relief to hardworking Coloradans. This is just the beginning of the pr… https://t.co/sjgMXaxIkD,928742127290519558
SenCoryGardner,RT @SengCenter: @SenCoryGardner joins us on @moneytalk1690 at 7:35 to discuss #TaxReform.  TUNE IN!  https://t.co/ErhIp9tga6 #copolitics #T…,925353119474700290
SenCoryGardner,Would lower taxes and a simplified tax code help you? Share your thoughts here: https://t.co/RACQjSa7SZ https://t.co/PXgKCMu4MZ,925086513498611712
SenCoryGardner,RT @ColoFarmBureau: Thanks @SenCoryGardner for fighting the HIT tax. Now's not the time for farmers to take a #HIT in the wallet. https://t…,923967244392189954
SenGillibrand,If you thought the House tax plan was bad the Senate plan is worse. This is corporate welfare at the expense of the middle class.,928726600228720641
SenGillibrand,The Republican tax plan is a blatant attempt to hand the collective wealth and resources of our country to rich cor… https://t.co/tWHz6LshqQ,928367956060528640
LindseyGrahamSC,RT @frankthorp: Q: What happens if GOP isn't able to pass tax reform?  Graham: "The party fractures most incumbents in 2018 will get a sev…,928650633355452417
ChuckGrassley,Met w farm cooperatives from Iowa about tax reform https://t.co/q4ycYUr34E,927949550039584768
SenKamalaHarris,“Nearly half of all middle-class families would pay more in taxes in 2026.” https://t.co/MAcDNBk3p2,928324621258117121
SenKamalaHarris,California mayors from both parties oppose the Republican plan to gut state & local tax deductions. It’s a bad deal… https://t.co/zVLQrdgoKA,928023283009839104
SenatorHassan,Here’s all you need to know about the GOP tax plan from @realdonaldtrump’s chief economic advisor Gary Cohn: "The m… https://t.co/SY3TmcgqRt,928646816501026816
SenatorHassan,UPDATE: New numbers from the @TaxPolicyCenter show that 25% of Americans will see their taxes rise by 2027 under th… https://t.co/47OdkUUgV4,928397892070592512
SenatorHassan,A basic requirement of a tax plan should be that people come first not big corporations. https://t.co/rn9d6hnrIB https://t.co/Z9kiJdRUAI,928036065851723776
GOPSenFinance,Finance Committee Republicans are all-in on tax plan that saves typical American family nearly $1500. Take a look… https://t.co/vXOxxFqSys,929393647472308225
GOPSenFinance,New Analysis by @taxfoundation: Senate tax bill delivers strong economic growth. #taxreform https://t.co/1pqkNQVc2a https://t.co/jAEYG5gjdA,929104824980967425
GOPSenFinance,RT @SenateGOP: Tax relief for middle-income Americans families and small businesses is on the way with the Tax Cuts & Jobs Act. #TaxRefor…,929100804866396161
GOPSenFinance,ICYMI: Hatch in @washingtonpost: The Senate tax bill is exactly what the middle class needs. #taxreform https://t.co/8wOq1k22oH,929089777487568897
GOPSenFinance,RT @senrobportman: Since I came to the Senate in 2011 we've had 70 hearings on #taxreform in the Finance Committee. Looking forward to the…,929083296319000577
GOPSenFinance,RT @SenDeanHeller: Nevadans deserve a break and that’s why I've been fighting to give middle-class families the biggest tax cut possible.…,929052603127918592
GOPSenFinance,Details on next week's Finance Committee markup of the Tax Cuts and Jobs Act available here: https://t.co/iSRSD13dgy https://t.co/1gv0KdJADC,929047609368555520
GOPSenFinance,RT @senrobportman: Our plan is focused on middle class tax relief making American companies more competitive (more #jobs) and leveling th…,929034255556063232
GOPSenFinance,RT @SenatorEnzi: The Senate Finance Committee released a #TaxReform proposal today to help boost America’s economy create more jobs and le…,929034217647898624
GOPSenFinance,RT @senrobportman: Senate must act on #TaxReform ASAP. It is long overdue. https://t.co/l5gvPs2L1P #Jobs,929034175755190273
GOPSenFinance,RT @SenateMajLdr: The @GOPSenFinance under the leadership of Chairman @senorrinhatch has put forward much needed #TaxReform that will giv…,929034117605462017
GOPSenFinance,RT @SenatorTimScott: The Senate #TaxReform bill will save an average family of 4 making $70k a year $1500 (40% cut!). Avg single parent ma…,929034000492048386
GOPSenFinance,RT @SenatorTimScott: You can read all about the Senate #TaxReform bill process and how it will help middle and working class American fami…,929033943592194050
GOPSenFinance,RT @SenJohnThune: Why is #TaxReform important? https://t.co/93aIMddmSV,929033821563052034
GOPSenFinance,RT @FoxNews: .@SenToomey: "We're going to have tax relief for middle income and low income families." https://t.co/iWXHGoTeOy,929032749498978305
GOPSenFinance,RT @PostOpinions: The Senate tax bill is exactly what the middle class needs https://t.co/drUxNzp2Cl,928801261125849089
GOPSenFinance,Finance Committee Chairman Orrin Hatch unveiled his pro-growth pro-jobs pro-family tax overhaul plan today. Click… https://t.co/ADlMjY9hsu,928801095090081792
GOPSenFinance,RT @SenateGOP: .@SenOrrinHatch live from the Senate floor on the @SenateGOP’s Tax Cuts & Jobs Act. #TaxReform https://t.co/9mfeDAYQi9,928719996712378368
GOPSenFinance,RT @SenToomey: @BoyerandRitter @RMSides @PPG Richard from @ShipleyEnergy in York says U.S. tax code has hurt his business. Listen to how #T…,928372355319156737
GOPSenFinance,Finance Committee Republicans are ready to deliver #TaxReform that will create more jobs increase paychecks and ma… https://t.co/u9Wknu8fdN,928311450078150657
SenDeanHeller,Nevadans deserve a break and that’s why I've been fighting to give middle-class families the biggest tax cut possi… https://t.co/znyp7Po74Y,929049752368484352
SenDeanHeller,RT @PostOpinions: The Senate tax bill is exactly what the middle class needs https://t.co/drUxNzp2Cl,928999544750297088
maziehirono,When it comes to the #TrumpTaxScam we have to look at what the GOP is doing- going after programs that benefit wor… https://t.co/zEqQQN2euj,928696871798886405
maziehirono,RT @SenFeinstein: Teachers spend $1.6 BILLION per year on school supplies. The Republican tax bill ELIMINATES their ability to deduct those…,927646574989250570
maziehirono,RT @SenateDems: WATCH: Republicans are trying to rush through their tax giveaway to the wealthy. This isn’t how #TaxReform is supposed to w…,927581992828289025
maziehirono,Toplines from the #TrumpTaxScam: #BillionairesFirst; corporations first; huge cuts to Medicaid Medicare education; ordinary families last.,926210454673874944
maziehirono,We should not be considering whether to exploit national treasures like the #ArcticRefuge to pay for tax cuts for t… https://t.co/QXGfcrMXB0,926188191597649920
maziehirono,We're live at @EnergyDems fighting a GOP proposal to pay for #TrumpTaxScam by opening drilling in the #ArcticRefuge. https://t.co/nbwX5W9CVo,926101772275453953
maziehirono,Corporations that would benefit from GOP tax plan won't share profits with workers they'll just get richer. Any ot… https://t.co/MELf4tHeQG,926096289368076288
SenJohnHoeven,#TaxReform is all about modernizing tax code so working Americans keep more of their hard-earned money while at sa… https://t.co/2GfsCc5uRC,928746488313929728
SenJohnHoeven,Met w/ folks from the ND Motor Carriers Association to discuss how #TaxReform will help the trucking industry. Also… https://t.co/ewXRrqvytF,928324267070119936
SenJohnHoeven,W/ #Senate colleagues highlighted need for #TaxReform – will provide relief for families & small businesses includ… https://t.co/xff9pKbXL3,927976398530195458
SenatorIsakson,The @ajc has my full take on #TaxReform here: https://t.co/9O3G5zzNCb.,928765060436119552
SenatorIsakson,I spoke about why #TaxReform is crucial to America’s future. https://t.co/cHEp17GKOU,928754477468971011
SenatorIsakson,Today after years of work @GOPSenFinance announced our #TaxReform proposal. STATEMENT: https://t.co/8uM9w9s9S6.,928753524992888837
SenatorIsakson,I’m excited to join @GOPSenFinance as we announce our #TaxReform plans to drive the American economy. We'll speak o… https://t.co/BA1ASoqobM,928717413515964417
timkaine,Even GOP leaders are finally beginning to acknowledge that this plan could raise taxes on many middle class familie… https://t.co/E1m5RsZzjC,929104810846179334
SenJohnKennedy,ICYMI: I sent a letter to Chairman Hatch urging @GOPSenFinance to keep the Adoption Tax Credit. @DavidAFrench @ERLC… https://t.co/6lITan3Q3u,928648122552803330
SenJohnKennedy,RT @sendavidperdue: Think @SenJohnKennedy said it best: changing the tax code is about putting more money back in the wallets of hard-worki…,927960058742308864
SenJohnKennedy,RT @sendavidperdue: .@SenJohnKennedy: Changing the tax code is about letting you keep more of your hard-earned dollars.,927937586433331201
SenJohnKennedy,We need to protect the adoption tax credit. It is pro-life and pro-families. https://t.co/y15MBMzzwi,927618838140735488
SenJohnKennedy,We need #TaxReform now so families can keep more of their hard-earned income. People know how to spend the $ they e… https://t.co/feicSjoAZU,926111371271507969
SenJohnKennedy,On @FoxNews this morning talking about how #Taxreform will help middle-class families.,926074071955263488
SenAngusKing,RT @firstfiveyears: .@SenAngusKing speaking about the importance of the Child and Dependent Care Tax Credit. Child care must be a priority…,927949089068765185
SenatorLankford,In the last 10yrs economic growth has averaged under 2%. This is unacceptable. The Senate #TaxReform plan could pr… https://t.co/Sul0dTIjzP,928810779301867520
SenatorLankford,Great to join @RealTodTucker this morning to talk Russian trolls & #taxreform. In case you missed it listen HERE: https://t.co/ojyhJaxvmk,928740870983217152
SenatorLankford,Our $20 Trillion debt can only be addressed by cutting spending & growing economy. #TaxReform must grow economy eno… https://t.co/xqYYdg9kCw,927208470763491329
SenMikeLee,While @marcorubio and I are glad to see an increase to the child tax credit like the House bill the Senate… https://t.co/oYcA0PT91W,928746314975891457
SenMikeLee,Marco Rubio: #TaxReform Should Help American Families https://t.co/8Pd9TZdz6P,927923591269769216
SenMikeLee,Thank you @IvankaTrump for leading the fight for real working family tax relief! https://t.co/O9otb88Mf5,925417290966949888
SenJohnMcCain,Pleased to see #TaxReform is moving through the regular order w/ hearings markup debate & amendments. I've long b… https://t.co/plHs3g0mAU,928740927421800453
SenateMajLdr,RT @SenateGOP: Tax relief for middle-income Americans families and small businesses is on the way with the Tax Cuts & Jobs Act. #TaxRefor…,929109356586721280
SenateMajLdr,The @GOPSenFinance under the leadership of Chairman @senorrinhatch has put forward much needed #TaxReform that wi… https://t.co/Q4ckIDh3pU,928771208195248128
SenateMajLdr,#ICYMI → #Senate Democrats claim your tax cut is a tax hike. That claim is immediately debunked→… https://t.co/G8m4YRDjGB,928701239071727616
SenateMajLdr,Chairman @senorrinhatch & @GOPSenFinance will lay out the legislative proposal for #TaxReform. It’s the product of… https://t.co/rFxNly2i61,928690026157928449
SenateMajLdr,As we continue on #TaxReform I urge Dems to join us. Many prominent Senate Ds have expressed support for tax refor… https://t.co/pH0KfUmrTy,928363429487939584
SenateMajLdr,By lowering taxes across the board we can help middle-class families keep more money in their pockets. By making t… https://t.co/LjgTiOJ0jQ,928340424439271425
SenateMajLdr,#TaxReform is our once-in-a-generation opportunity to help create #jobs boost the #economy and close special-interest loopholes.,928291028389519360
SenateMajLdr,Today House @WaysandMeansGOP will continue to markup its proposal for #TaxReform. I would like to again commend Ch… https://t.co/UbtXEoxMgf,928280102718369792
SenateMajLdr,RT @SenJohnHoeven: W/ #Senate colleagues highlighted need for #TaxReform – will provide relief for families & small businesses including #…,928017637929635841
SenateMajLdr,RT @sendavidperdue: ICYMI – Watch our tax event w/ @KellyannePolls & @stevenmnuchin1 at https://t.co/LaxIVKFmc8 https://t.co/nMUbL9YoPD,928014067511582727
SenatorMenendez,Why aren't working families the most excited? Why aren't New Jersey homeowners? Because Republicans’ tax plan has n… https://t.co/vQ3OgYi1kD,929085962000519169
SenatorMenendez,Senate GOP proposal isn’t tax reform it’s a budget-busting abomination that treats New Jersey’s middle class like… https://t.co/dy0RWe3zwX,928732254733512704
SenatorMenendez,In a stunning move the Trump Senate GOP tax plan hurts New Jersey EVEN MORE than the House bill. Completely elimin… https://t.co/ZzvAn5jAjJ,928727278409912320
SenatorMenendez,Going through Trump/Senate GOP tax plan now (since it was written in secret with no Dem input). They may have tinke… https://t.co/NK3GL4I7W2,928722320788729856
SenatorMenendez,It turns out the Republican’s “fiscal responsibility” was a sham. The #GOPTaxScam would add $1.7 TRILLION to the de… https://t.co/2SpgdnmvWv,928656589975891968
SenatorMenendez,House Republicans think their tax plan will let you do your taxes on a postcard. Well here's a postcard of all the… https://t.co/XWtX0qZo7D,928652149365624832
SenatorMenendez,Raising taxes for more than 25% of Americans is unacceptable. Middle class Americans need MORE money in their pocke… https://t.co/82dEctl3gD,928625579070509056
SenatorMenendez,Republicans now flirting with sneaking a healthcare repeal bill into the tax plan that would • Tear health insuranc… https://t.co/aM3HKQqaqX,928394681884577792
SenatorMenendez,When the Republican tax giveaway to corporations and the top 1% explodes the deficit they'll be looking to the mid… https://t.co/cqcNnkrB5E,928367963924770816
SenatorMenendez,A vote for the Republican tax plan is a vote for increasing the tax burden on the middle class. We need a tax code… https://t.co/Cjgx5Wvk3w,928362170655629312
SenJeffMerkley,.@SenateGOP's version of the #TaxScam is STILL a massive giveaway to corporations and the richest 1% at YOUR expens… https://t.co/pErk5rZlaO,928743363481874432
JerryMoran,Our tax code should work for Kansans not against them. I am committed to creating a fairer pro-growth tax code th… https://t.co/inwwI4khmQ,928757053438464000
ChrisMurphyCT,Over and over they admit on the record that the GOP tax bill isn't for you. It's for the CEOs and the billionaires… https://t.co/jWkngygjbN,928718921942863872
ChrisMurphyCT,The GOP tax bill isn't for you. It's for their billionaire and corporate donors. And they're not even trying to hid… https://t.co/EjWLjIfBZ9,928668046390161409
ChrisMurphyCT,The GOP tax plan would be a disaster for seniors and people with loved ones in nursing homes. https://t.co/uUdET5UbqS,928628793253777411
